date,ticker,Index,Type,N
2011-02-16 00:00:00+00:00,AAPL,281,Good,185.0
2011-04-04 00:00:00+00:00,AAPL,313,Bad,437.0
2011-04-21 00:00:00+00:00,AAPL,326,Good,1177.0
2011-06-07 00:00:00+00:00,AAPL,358,Neutral,511.0
2011-06-17 00:00:00+00:00,AAPL,366,Neutral,462.0
2011-08-25 00:00:00+00:00,AAPL,414,Neutral,989.0
2011-10-05 00:00:00+00:00,AAPL,442,Neutral,1278.0
2012-01-25 00:00:00+00:00,AAPL,516,Neutral,2497.0
2012-04-25 00:00:00+00:00,AAPL,580,Neutral,4931.0
2012-10-26 00:00:00+00:00,AAPL,708,Neutral,5145.0
2012-11-05 00:00:00+00:00,AAPL,714,Bad,3918.0
2013-01-24 00:00:00+00:00,AAPL,767,Bad,6229.0
2013-04-24 00:00:00+00:00,AAPL,830,Neutral,6114.0
2013-05-15 00:00:00+00:00,AAPL,845,Bad,1513.0
2013-07-24 00:00:00+00:00,AAPL,893,Neutral,3690.0
2013-08-14 00:00:00+00:00,AAPL,908,Good,4324.0
2013-08-23 00:00:00+00:00,AAPL,915,Neutral,2956.0
2013-09-11 00:00:00+00:00,AAPL,927,Neutral,7161.0
2013-10-29 00:00:00+00:00,AAPL,960,Good,6455.0
2014-01-28 00:00:00+00:00,AAPL,1020,Neutral,6995.0
2014-04-24 00:00:00+00:00,AAPL,1081,Neutral,4723.0
2014-05-09 00:00:00+00:00,AAPL,1092,Good,1644.0
2014-07-16 00:00:00+00:00,AAPL,1138,Neutral,1848.0
2014-07-23 00:00:00+00:00,AAPL,1143,Neutral,3739.0
2014-09-10 00:00:00+00:00,AAPL,1177,Neutral,7575.0
2014-10-21 00:00:00+00:00,AAPL,1205,Neutral,4059.0
2015-01-28 00:00:00+00:00,AAPL,1271,Neutral,8547.0
2015-04-28 00:00:00+00:00,AAPL,1334,Neutral,7800.0
2015-07-22 00:00:00+00:00,AAPL,1393,Bad,9397.0
2015-08-04 00:00:00+00:00,AAPL,1402,Bad,5757.0
2015-09-10 00:00:00+00:00,AAPL,1428,Neutral,5440.0
2015-10-28 00:00:00+00:00,AAPL,1461,Neutral,5913.0
2015-12-02 00:00:00+00:00,AAPL,1484,Bad,1124.0
2016-01-27 00:00:00+00:00,AAPL,1521,Bad,6911.0
2016-03-22 00:00:00+00:00,AAPL,1559,Bad,2094.0
2016-04-18 00:00:00+00:00,AAPL,1578,Bad,1931.0
2016-04-27 00:00:00+00:00,AAPL,1585,Bad,6865.0
2016-05-12 00:00:00+00:00,AAPL,1596,Bad,2388.0
2016-07-27 00:00:00+00:00,AAPL,1648,Neutral,5003.0
2016-08-30 00:00:00+00:00,AAPL,1672,Bad,1863.0
2016-09-08 00:00:00+00:00,AAPL,1678,Neutral,5076.0
2016-09-26 00:00:00+00:00,AAPL,1690,Neutral,2488.0
2016-10-11 00:00:00+00:00,AAPL,1700,Good,2564.0
2016-10-26 00:00:00+00:00,AAPL,1711,Bad,6495.0
2017-01-03 00:00:00+00:00,AAPL,1756,Bad,1163.0
2017-02-01 00:00:00+00:00,AAPL,1776,Bad,4394.0
2017-05-03 00:00:00+00:00,AAPL,1840,Neutral,5120.0
2017-06-05 00:00:00+00:00,AAPL,1862,Bad,1278.0
2017-06-12 00:00:00+00:00,AAPL,1867,Bad,3276.0
2017-08-02 00:00:00+00:00,AAPL,1903,Good,6032.0
2017-09-13 00:00:00+00:00,AAPL,1932,Bad,6118.0
2017-11-03 00:00:00+00:00,AAPL,1968,Good,4869.0
2017-12-26 00:00:00+00:00,AAPL,2002,Neutral,1100.0
2018-02-02 00:00:00+00:00,AAPL,2028,Neutral,6877.0
2018-03-22 00:00:00+00:00,AAPL,2061,Good,835.0
2018-05-02 00:00:00+00:00,AAPL,2090,Neutral,6612.0
2018-07-30 00:00:00+00:00,AAPL,2151,Bad,1195.0
2018-08-01 00:00:00+00:00,AAPL,2153,Neutral,7946.0
2018-09-10 00:00:00+00:00,AAPL,2180,Bad,1894.0
2018-09-13 00:00:00+00:00,AAPL,2183,Neutral,3425.0
2018-10-11 00:00:00+00:00,AAPL,2202,Bad,1419.0
2018-11-02 00:00:00+00:00,AAPL,2218,Bad,11210.0
2018-11-13 00:00:00+00:00,AAPL,2224,Bad,3922.0
2019-01-03 00:00:00+00:00,AAPL,2258,Bad,7808.0
2019-01-30 00:00:00+00:00,AAPL,2276,Bad,6094.0
2019-03-21 00:00:00+00:00,AAPL,2311,Good,1485.0
2019-03-26 00:00:00+00:00,AAPL,2314,Bad,4186.0
2019-05-01 00:00:00+00:00,AAPL,2340,Neutral,5308.0
2019-07-31 00:00:00+00:00,AAPL,2403,Neutral,3332.0
2019-09-11 00:00:00+00:00,AAPL,2432,Neutral,2722.0
2019-10-31 00:00:00+00:00,AAPL,2467,Neutral,3302.0
2020-01-29 00:00:00+00:00,AAPL,2526,Neutral,5832.0
2020-02-18 00:00:00+00:00,AAPL,2539,Bad,3339.0
2014-03-07 00:00:00+00:00,AMD,3611,Good,236.0
2014-04-18 00:00:00+00:00,AMD,3641,Good,463.0
2014-06-10 00:00:00+00:00,AMD,3677,Good,135.0
2014-06-23 00:00:00+00:00,AMD,3686,Bad,341.0
2014-07-18 00:00:00+00:00,AMD,3704,Bad,1009.0
2014-10-09 00:00:00+00:00,AMD,3762,Bad,489.0
2014-10-17 00:00:00+00:00,AMD,3767,Bad,559.0
2014-12-02 00:00:00+00:00,AMD,3797,Bad,33.0
2015-01-12 00:00:00+00:00,AMD,3824,Bad,33.0
2015-01-20 00:00:00+00:00,AMD,3829,Bad,132.0
2015-01-27 00:00:00+00:00,AMD,3834,Good,169.0
2015-03-25 00:00:00+00:00,AMD,3874,Bad,48.0
2015-04-13 00:00:00+00:00,AMD,3887,Good,35.0
2015-04-17 00:00:00+00:00,AMD,3891,Bad,324.0
2015-05-26 00:00:00+00:00,AMD,3917,Good,18.0
2015-06-17 00:00:00+00:00,AMD,3933,Good,76.0
